Time (s),ax,ay,az,gx,gy,gz
9.75290067,4.33095026,1.254000068,1.968000054,1.685199976,-1.906299949,1.669662476
9.77290067,4.33095026,1.254000068,1.968000054,1.685199976,-1.906299949,1.669662476
9.79290067,0.2520000041,-1.464000106,2.619000196,1.685199976,-1.906299949,1.669662476
9.81290067,0.2520000041,-1.464000106,2.619000196,1.685199976,-1.906299949,1.669662476
9.83290067,-4.80300045,-4.450950146,3.748050213,12.16819954,-12.28232479,8.951662064
9.85290067,-4.80300045,-4.450950146,3.748050213,12.16819954,-12.28232479,8.951662064
9.87290067,-4.80300045,-4.450950146,3.748050213,12.16819954,-12.28232479,8.951662064
9.89290067,-4.80300045,-4.450950146,3.748050213,12.16819954,-12.28232479,8.951662064
9.91290067,-4.80300045,-4.450950146,3.748050213,12.16819954,-12.28232479,8.951662064
9.93290067,-4.80300045,-4.450950146,3.748050213,-1.239150047,0.528275013,0.4032875001
9.95290067,-4.80300045,-4.450950146,3.748050213,-1.239150047,0.528275013,0.4032875001
9.97290067,-4.80300045,-4.450950146,3.748050213,-3.720337391,2.673825026,-1.062875032
9.99290067,-4.80300045,-4.450950146,3.748050213,-3.720337391,2.673825026,-1.062875032
10.01290067,-4.80300045,-4.450950146,3.748050213,-2.190787554,3.039025068,-1.610949993
10.03290067,11.53095055,-0.5640000105,1.35495007,-2.190787554,3.039025068,-1.610949993
10.05290067,11.53095055,-0.5640000105,1.35495007,-2.190787554,3.039025068,-1.610949993
10.07290067,1.918050051,-3.475050211,-4.561050415,-2.035274982,3.771212578,-1.69372499
10.09290067,1.918050051,-3.475050211,-4.561050415,-2.035274982,3.771212578,-1.69372499
10.11290067,1.918050051,-3.475050211,-4.561050415,-2.035274982,3.771212578,-1.69372499
10.13290067,1.918050051,-3.475050211,-4.561050415,-2.035274982,3.771212578,-1.69372499
10.15290067,1.918050051,-3.475050211,-4.561050415,-2.035274982,3.771212578,-1.69372499
10.17290067,-0.6660000086,-25.93695068,13.7629509,-3.036000013,3.325162411,-1.392737508
10.19290067,-0.6660000086,-25.93695068,13.7629509,-3.036000013,3.325162411,-1.392737508
10.21290067,0.06000000238,-6.652950287,-0.5209500194,1.652474999,2.696512461,0.05788749829
10.23290067,0.06000000238,-6.652950287,-0.5209500194,1.652474999,2.696512461,0.05788749829
10.25290067,0.06000000238,-6.652950287,-0.5209500194,1.652474999,2.696512461,0.05788749829
10.27290067,-1.030050039,-0.8509500623,1.258950114,1.652474999,2.696512461,0.05788749829
10.29290067,-1.030050039,-0.8509500623,1.258950114,1.652474999,2.696512461,0.05788749829
10.31290067,-1.030050039,-0.8509500623,1.258950114,1.261562467,1.380774975,1.829162478
10.33290067,-1.030050039,-0.8509500623,1.258950114,1.261562467,1.380774975,1.829162478
10.35290067,-1.030050039,-0.8509500623,1.258950114,1.261562467,1.380774975,1.829162478
